Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
49,"M Ahmed, R Seraj, SMS Islam",The k-means Algorithm: A Comprehensive Survey and Performance Evaluation,1384,2020, mdpi.com, Electronics,https://www.mdpi.com/2079-9292/9/8/1295,231
53,"T Niknam, B Amiri","An efficient hybrid approach based on PSO, ACO and k-means for cluster analysis",571,2010, Elsevier, Applied soft computing,https://www.sciencedirect.com/science/article/pii/S1568494609000854,36
34,"OJ Oyelade, OO Oladipupo, IC Obagbuwa",Application of k Means Clustering algorithm for prediction of Students Academic Performance,551,2010, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1002.2425,34
52,"J Zhang, HSH Chung, WL Lo",Clustering-based adaptive crossover and mutation probabilities for genetic algorithms,412,2007, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/4220690/,22
2,"SN Sulaiman, NAM Isa",Adaptive fuzzy-K-means clustering algorithm for image segmentation,249,2010, ieeexplore.ieee.org, IEEE Transactions on Consumer …,https://ieeexplore.ieee.org/abstract/document/5681154/,16
66,"U Gonzales-Barron, F Butler",A comparison of seven thresholding techniques with the k-means clustering algorithm for measurement of bread-crumb features by digital image analysis,242,2006, Elsevier, Journal of food engineering,https://www.sciencedirect.com/science/article/pii/S0260877405001652,12
3,"VK Dehariya, SK Shrivastava…",Clustering of image data set using k-means and fuzzy k-means algorithms,239,2010, ieeexplore.ieee.org, 2010 International …,https://ieeexplore.ieee.org/abstract/document/5702000/,15
1,"NAM Isa, SA Salamah, UK Ngah",Adaptive fuzzy moving K-means clustering algorithm for image segmentation,232,2009, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/5373781/,14
9,"HM Moftah, AT Azar, ET Al-Shammari, NI Ghali…",Adaptive k-means clustering algorithm for MR breast image segmentation,193,2014, Springer, Neural Computing and …,https://link.springer.com/article/10.1007/s00521-013-1437-4,16
13,"MS Alam, MM Rahman, MA Hossain, MK Islam…",Automatic human brain tumor detection in MRI image using template-based K means and improved fuzzy C means clustering algorithm,174,2019, mdpi.com, Big Data and Cognitive …,https://www.mdpi.com/2504-2289/3/2/27,25
42,"ZL Sun, KF Au, TM Choi",A neuro-fuzzy inference system through integration of fuzzy logic and extreme learning machines,173,2007, ieeexplore.ieee.org, IEEE Transactions on Systems  Man …,https://ieeexplore.ieee.org/abstract/document/4305290/,9
57,"N Arunkumar, MA Mohammed, MK Abd Ghani…",K-Means clustering and neural network for object detecting and identifying abnormality of brain tumor,163,2019, Springer, Soft Computing,https://link.springer.com/article/10.1007/s00500-018-3618-7,23
14,"A Jose, S Ravi, M Sambath",Brain tumor segmentation using k-means clustering and fuzzy c-means algorithms and its area calculation,157,2014, Citeseer, … Journal of Innovative Research in Computer …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=7918d42c9f1390c09bd83c388884839e7d67237a,13
47,"F Valdez, P Melin, O Castillo",A survey on nature-inspired optimization algorithms with fuzzy logic for dynamic parameter adaptation,153,2014, Elsevier, Expert systems with applications,https://www.sciencedirect.com/science/article/pii/S0957417414002127,13
6,"A Ajala Funmilola, OA Oke, TO Adedeji…",Fuzzy kc-means clustering algorithm for medical image segmentation,132,2012, core.ac.uk, Journal of information …,https://core.ac.uk/download/pdf/234676965.pdf,9
64,"M Ay, O Kisi","Modelling of chemical oxygen demand by using ANNs, ANFIS and k-means clustering techniques",126,2014, Elsevier, Journal of Hydrology,https://www.sciencedirect.com/science/article/pii/S0022169414000766,10
60,"M Sharma, GN Purohit, S Mukherjee",Information retrieves from brain MRI images for tumor detection using hybrid technique K-means and artificial neural network (KMANN),122,2018, Springer, Networking Communication and …,https://link.springer.com/chapter/10.1007/978-981-10-4600-1_14,15
68,"RJ Kuo, JL Liao, C Tu",Integration of ART2 neural network and genetic K-means algorithm for analyzing Web browsing paths in electronic commerce,116,2005, Elsevier, Decision Support Systems,https://www.sciencedirect.com/science/article/pii/S0167923604000697,6
