Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
65,"S Krinidis, V Chatzis",A robust fuzzy local information C-means clustering algorithm,1352,2010, ieeexplore.ieee.org, IEEE transactions on image processing,https://ieeexplore.ieee.org/abstract/document/5393030/,84
91,"B Zheng, SW Yoon, SS Lam",Breast cancer diagnosis based on feature extraction using a hybrid of K-means and support vector machine algorithms,726,2014, Elsevier, Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417413006659,60
68,"AP Gasch, MB Eisen",Exploring the conditional coregulation of yeast gene expression through fuzzy k-means clustering,615,2002, Springer, Genome biology,https://link.springer.com/article/10.1186/gb-2002-3-11-research0059,26
6,"T Lei, X Jia, Y Zhang, S Liu, H Meng…",Superpixel-based fast fuzzy C-means clustering for color image segmentation,354,2018, ieeexplore.ieee.org, … Transactions on Fuzzy …,https://ieeexplore.ieee.org/abstract/document/8584141/,44
94,"S Zhang, H Wang, W Huang, Z You","Plant diseased leaf segmentation and recognition by fusion of superpixel, K-means and PHOG",309,2018, Elsevier, Optik,https://www.sciencedirect.com/science/article/pii/S0030402617316108,39
66,"NC Yang, WH Chang, CM Kuo, TH Li",A fast MPEG-7 dominant color extraction with new similarity measure for image retrieval,241,2008, Elsevier, Journal of visual communication and …,https://www.sciencedirect.com/science/article/pii/S1047320307000466,13
15,"VK Dehariya, SK Shrivastava…",Clustering of image data set using k-means and fuzzy k-means algorithms,239,2010, ieeexplore.ieee.org, 2010 International …,https://ieeexplore.ieee.org/abstract/document/5702000/,15
13,"NAM Isa, SA Salamah, UK Ngah",Adaptive fuzzy moving K-means clustering algorithm for image segmentation,232,2009, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/5373781/,14
32,"M Nawaz, Z Mehmood, T Nazir…",Skin cancer detection from dermoscopic images using deep learning and fuzzy k‐means clustering,213,2022, Wiley Online Library, Microscopy research …,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/jemt.23908,53
24,"LH Juang, MN Wu",MRI brain lesion image detection based on color-converted K-means clustering segmentation,209,2010, Elsevier, Measurement,https://www.sciencedirect.com/science/article/pii/S0263224110000850,13
72,"K Tian, J Li, J Zeng, A Evans, L Zhang",Segmentation of tomato leaf images based on adaptive clustering number of K-means algorithm,194,2019, Elsevier, Computers and Electronics in …,https://www.sciencedirect.com/science/article/pii/S0168169919305538,28
23,"SR Dubey, P Dixit, N Singh, JP Gupta",Infected fruit part detection using K-means clustering segmentation technique,184,2013, reunir.unir.net,,https://reunir.unir.net/handle/123456789/9723,14
