Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
62,"HD Cheng, XH Jiang, Y Sun, J Wang",Color image segmentation: advances and prospects,2710,2001, Elsevier, Pattern recognition,https://www.sciencedirect.com/science/article/pii/S0031320300001497,108
9,"KS Chuang, HL Tzeng, S Chen, J Wu…",Fuzzy c-means clustering with spatial information for image segmentation,1770,2006, Elsevier, … medical imaging and …,https://www.sciencedirect.com/science/article/pii/S0895611105000923,88
16,"W Cai, S Chen, D Zhang",Fast and robust fuzzy c-means clustering algorithms incorporating local information for image segmentation,1463,2007, Elsevier, Pattern recognition,https://www.sciencedirect.com/science/article/pii/S0031320306003451,77
92,"N Dhanachandra, K Manglem, YJ Chanu",Image segmentation using K-means clustering algorithm and subtractive clustering algorithm,1439,2015, Elsevier, Procedia Computer Science,https://www.sciencedirect.com/science/article/pii/S1877050915014143,131
44,"DQ Zhang, SC Chen",A novel kernelized fuzzy c-means algorithm with application in medical image segmentation,785,2004, Elsevier, Artificial intelligence in medicine,https://www.sciencedirect.com/science/article/pii/S0933365704000351,36
24,"M Gong, Y Liang, J Shi, W Ma…",Fuzzy c-means clustering with local information and kernel metric for image segmentation,747,2012, ieeexplore.ieee.org, IEEE transactions on image …,https://ieeexplore.ieee.org/abstract/document/6305476/,53
10,"BN Li, CK Chui, S Chang, SH Ong",Integrating spatial fuzzy clustering with level set methods for automated medical image segmentation,592,2011, Elsevier, Computers in biology and medicine,https://www.sciencedirect.com/science/article/pii/S0010482510001460,39
65,DL Pham,Spatial models for fuzzy clustering,566,2001, Elsevier, Computer vision and image understanding,https://www.sciencedirect.com/science/article/pii/S1077314201909518,23
58,"Y Zheng, B Jeon, D Xu, QM Wu…",Image segmentation by generalized hierarchical fuzzy C-means algorithm,531,2015, content.iospress.com, … of Intelligent & Fuzzy …,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs1378,48
69,T Chaira,A novel intuitionistic fuzzy C means clustering algorithm and its application to medical images,486,2011, Elsevier, Applied soft computing,https://www.sciencedirect.com/science/article/pii/S1568494610001067,32
19,"AWC Liew, H Yan",An adaptive spatial fuzzy clustering algorithm for 3-D MR image segmentation,448,2003, ieeexplore.ieee.org, IEEE transactions on medical imaging,https://ieeexplore.ieee.org/abstract/document/1225841/,19
67,"KS Tan, NAM Isa",Color image segmentation using histogram thresholding–Fuzzy C-means hybrid approach,370,2011, Elsevier, Pattern recognition,https://www.sciencedirect.com/science/article/pii/S0031320310003523,25
20,"T Lei, X Jia, Y Zhang, S Liu, H Meng…",Superpixel-based fast fuzzy C-means clustering for color image segmentation,354,2018, ieeexplore.ieee.org, … Transactions on Fuzzy …,https://ieeexplore.ieee.org/abstract/document/8584141/,44
52,"L Chen, CLP Chen, M Lu",A multiple-kernel fuzzy c-means algorithm for image segmentation,325,2011, ieeexplore.ieee.org, IEEE Transactions on Systems  Man …,https://ieeexplore.ieee.org/abstract/document/5740617/,22
2,"S Naz, H Majeed, H Irshad",Image segmentation using fuzzy clustering: A survey,313,2010, ieeexplore.ieee.org, 2010 6th international conference …,https://ieeexplore.ieee.org/abstract/document/5638492/,20
96,"J Selvakumar, A Lakshmi…",Brain tumor segmentation and its area calculation in brain MR images using K-mean clustering and Fuzzy C-mean algorithm,308,2012, ieeexplore.ieee.org, … international conference on …,https://ieeexplore.ieee.org/abstract/document/6215996/,22
63,"JK Udupa, PK Saha",Fuzzy connectedness and image segmentation,282,2003, ieeexplore.ieee.org, Proceedings of the IEEE,https://ieeexplore.ieee.org/abstract/document/1232198/,12
46,"AWC Liew, SH Leung, WH Lau",Fuzzy image clustering incorporating spatial continuity,282,2000, IET,Vision  Image and Signal …,https://digital-library.theiet.org/doi/abs/10.1049/ip-vis%3A20000218,11
7,"MR Rezaee, PMJ Van der Zwet…",A multiresolution image segmentation technique based on pyramidal segmentation and fuzzy clustering,266,2000, ieeexplore.ieee.org, … on image …,https://ieeexplore.ieee.org/abstract/document/847836/,10
29,"SP Chatzis, TA Varvarigou",A fuzzy clustering approach toward hidden Markov random field models for enhanced spatially constrained image segmentation,257,2008, ieeexplore.ieee.org, IEEE Transactions on Fuzzy …,https://ieeexplore.ieee.org/abstract/document/4607251/,14
5,"SN Sulaiman, NAM Isa",Adaptive fuzzy-K-means clustering algorithm for image segmentation,249,2010, ieeexplore.ieee.org, IEEE Transactions on Consumer …,https://ieeexplore.ieee.org/abstract/document/5681154/,16
21,"VK Dehariya, SK Shrivastava…",Clustering of image data set using k-means and fuzzy k-means algorithms,239,2010, ieeexplore.ieee.org, 2010 International …,https://ieeexplore.ieee.org/abstract/document/5702000/,15
28,"Y Yang, S Huang",Image segmentation by fuzzy c-means clustering algorithm with a novel penalty term,233,2007, cai.sk, Computing and informatics,https://www.cai.sk/ojs/index.php/cai/article/view/296,12
15,"NAM Isa, SA Salamah, UK Ngah",Adaptive fuzzy moving K-means clustering algorithm for image segmentation,232,2009, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/5373781/,14
83,"NN Gopal, M Karnan",Diagnose brain tumor through MRI using image processing clustering algorithms such as Fuzzy C Means along with intelligent optimization techniques,229,2010, ieeexplore.ieee.org, 2010 IEEE international conference on …,https://ieeexplore.ieee.org/abstract/document/5705890/,14
61,"SK Adhikari, JK Sing, DK Basu, M Nasipuri",Conditional spatial fuzzy C-means clustering algorithm for segmentation of MRI images,216,2015, Elsevier, Applied soft computing,https://www.sciencedirect.com/science/article/pii/S1568494615003488,20
48,"AWC Liew, SH Leung, WH Lau",Segmentation of color lip images by spatial fuzzy clustering,207,2003, ieeexplore.ieee.org, IEEE transactions on Fuzzy …,https://ieeexplore.ieee.org/abstract/document/1220299/,9
23,"AN Benaichouche, H Oulhadj, P Siarry","Improved spatial fuzzy c-means clustering for image segmentation using PSO initialization, Mahalanobis distance and post-segmentation correction",203,2013, Elsevier, Digital Signal Processing,https://www.sciencedirect.com/science/article/pii/S1051200413001486,16
39,"H Verma, RK Agrawal, A Sharan",An improved intuitionistic fuzzy c-means clustering algorithm incorporating local information for brain image segmentation,200,2016, Elsevier, Applied Soft Computing,https://www.sciencedirect.com/science/article/pii/S1568494615008017,20
13,"Y Han, P Shi",An improved ant colony algorithm for fuzzy clustering in image segmentation,188,2007, Elsevier, Neurocomputing,https://www.sciencedirect.com/science/article/pii/S0925231206002694,10
57,"S Balla-Arabé, X Gao, B Wang",A fast and robust level set method for image segmentation using fuzzy clustering and lattice Boltzmann method,180,2013, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/6329451/,14
85,"U Maulik, I Saha",Automatic fuzzy clustering using modified differential evolution for image classification,177,2010, ieeexplore.ieee.org, IEEE transactions on Geoscience and …,https://ieeexplore.ieee.org/abstract/document/5462924/,11
27,"M Forouzanfar, N Forghani, M Teshnehlab",Parameter optimization of improved fuzzy c-means clustering algorithm for brain MR image segmentation,176,2010, Elsevier, Engineering Applications of …,https://www.sciencedirect.com/science/article/pii/S095219760900150X,11
36,"SH Leung, SL Wang, WH Lau",Lip image segmentation using fuzzy clustering incorporating an elliptic shape function,174,2004, ieeexplore.ieee.org, IEEE transactions on image …,https://ieeexplore.ieee.org/abstract/document/1262013/,8
55,DL Pham,Fuzzy clustering with spatial constraints,172,2002, ieeexplore.ieee.org, Proceedings. International Conference on Image …,https://ieeexplore.ieee.org/abstract/document/1039888/,7
31,"S Aja-Fernández, AH Curiale…",A local fuzzy thresholding methodology for multiregion image segmentation,171,2015, Elsevier,Based …,https://www.sciencedirect.com/science/article/pii/S095070511500129X,16
60,"J Fan, M Han, J Wang",Single point iterative weighted fuzzy C-means clustering algorithm for remote sensing image segmentation,170,2009, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S0031320309001563,10
64,"S Das, S Sil",Kernel-induced fuzzy clustering of image pixels with an improved differential evolution algorithm,170,2010, Elsevier, Information Sciences,https://www.sciencedirect.com/science/article/pii/S0020025509005192,11
80,"Z Yu, OC Au, R Zou, W Yu, J Tian",An adaptive unsupervised approach toward pixel clustering and color image segmentation,167,2010, Elsevier, Pattern recognition,https://www.sciencedirect.com/science/article/pii/S0031320309004348,10
78,"SS Chouhan, A Kaul, UP Singh",Image segmentation using computational intelligence techniques,163,2019, Springer, Archives of Computational Methods in …,https://link.springer.com/article/10.1007/s11831-018-9257-4,23
3,"T Lei, P Liu, X Jia, X Zhang, H Meng…",Automatic fuzzy clustering framework for image segmentation,163,2019, ieeexplore.ieee.org, … Transactions on Fuzzy …,https://ieeexplore.ieee.org/abstract/document/8770118/,23
1,"Z Yang, FL Chung, W Shitong",Robust fuzzy clustering-based image segmentation,159,2009, Elsevier, Applied soft computing,https://www.sciencedirect.com/science/article/pii/S1568494608000355,9
30,"TX Pham, P Siarry, H Oulhadj",Integrating fuzzy entropy clustering with an improved PSO for MRI brain image segmentation,157,2018, Elsevier, Applied Soft Computing,https://www.sciencedirect.com/science/article/pii/S1568494618300097,20
81,"A Jose, S Ravi, M Sambath",Brain tumor segmentation using k-means clustering and fuzzy c-means algorithms and its area calculation,157,2014, Citeseer, … Journal of Innovative Research in Computer …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=7918d42c9f1390c09bd83c388884839e7d67237a,13
17,"Z Ji, Y Xia, Q Chen, Q Sun, D Xia, DD Feng",Fuzzy c-means clustering with weighted image patch for image segmentation,154,2012, Elsevier, Applied soft computing,https://www.sciencedirect.com/science/article/pii/S1568494612000701,11
35,"H Huang, F Meng, S Zhou, F Jiang…",Brain image segmentation based on FCM clustering algorithm and rough set,147,2019, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/8612906/,21
93,"L Ma, RC Staunton",A modified fuzzy C-means image segmentation algorithm for use with uneven illumination patterns,146,2007, Elsevier, Pattern recognition,https://www.sciencedirect.com/science/article/pii/S0031320307000908,8
