Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
1,"B Zheng, SW Yoon, SS Lam",Breast cancer diagnosis based on feature extraction using a hybrid of K-means and support vector machine algorithms,726,2014, Elsevier, Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417413006659,60
78,"R Kumar, R Srivastava…",Detection and classification of cancer from microscopic biopsy images using clinically significant and biologically interpretable features,283,2015, Wiley Online Library, Journal of medical …,https://onlinelibrary.wiley.com/doi/abs/10.1155/2015/457906,26
53,"A Rastogi, R Arora, S Sharma",Leaf disease detection and grading using computer vision technology & fuzzy logic,241,2015, ieeexplore.ieee.org, 2015 2nd international …,https://ieeexplore.ieee.org/abstract/document/7095350/,22
7,"NAM Isa, SA Salamah, UK Ngah",Adaptive fuzzy moving K-means clustering algorithm for image segmentation,232,2009, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/5373781/,14
44,"SR Dubey, P Dixit, N Singh, JP Gupta",Infected fruit part detection using K-means clustering segmentation technique,184,2013, reunir.unir.net,,https://reunir.unir.net/handle/123456789/9723,14
79,"SM Javidan, A Banakar, KA Vakilian…",Diagnosis of grape leaf diseases using automatic K-means clustering and machine learning,164,2023, Elsevier, Smart agricultural …,https://www.sciencedirect.com/science/article/pii/S2772375522000466,55
61,"N Arunkumar, MA Mohammed, MK Abd Ghani…",K-Means clustering and neural network for object detecting and identifying abnormality of brain tumor,163,2019, Springer, Soft Computing,https://link.springer.com/article/10.1007/s00500-018-3618-7,23
40,"C Narmatha, SM Eljack, AARM Tuka…",A hybrid fuzzy brain-storm optimization algorithm for the classification of brain tumor MRI images,154,2020, Springer, Journal of ambient …,https://link.springer.com/article/10.1007/s12652-020-02470-5?wt_mc=Internal.Event.1.SEM.ArticleAuthorOnlineFirst&utm_source=ArticleAuthorOnlineFirst&utm_medium=email&utm_content=AA_en_06082018&ArticleAuthorOnlineFirst_20200815&error=cookies_not_supported&code=fab57d6e-1312-4a37-8a3c-8773851fee1e,26
26,"M Kumar, M Alshehri, R AlGhamdi, P Sharma…",A de-ann inspired skin cancer detection approach using fuzzy c-means clustering,147,2020, Springer, Mobile Networks and …,https://link.springer.com/article/10.1007/s11036-020-01550-2,24
35,"ZS Younus, D Mohamad, T Saba, MH Alkawaz…",Content-based image retrieval using PSO and k-means clustering algorithm,144,2015, Springer, Arabian Journal of …,https://link.springer.com/article/10.1007/s12517-014-1584-7,13
13,"G Krishnasamy, AJ Kulkarni, R Paramesran",A hybrid approach for data clustering based on modified cohort intelligence and K-means,130,2014, Elsevier, Expert Systems with …,https://www.sciencedirect.com/science/article/pii/S095741741400150X,11
10,"V Jumb, M Sohani, A Shrivas",Color image segmentation using K-means clustering and Otsu's adaptive thresholding,113,2014, Citeseer, International Journal of Innovative …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=e2ea87633490965e92400ae80955dcb5dce6e90a,9
92,"MS Wang, WC Chen",A hybrid DWT-SVD copyright protection scheme based on k-means clustering and visual cryptography,97,2009, Elsevier, Computer Standards & Interfaces,https://www.sciencedirect.com/science/article/pii/S0920548908001141,6
93,"SK Sahu, M Pandey",An optimal hybrid multiclass SVM for plant leaf disease detection using spatial Fuzzy C-Means model,97,2023, Elsevier, Expert systems with applications,https://www.sciencedirect.com/science/article/pii/S0957417422020073,32
56,"S Rinesh, K Maheswari, B Arthi…",Investigations on brain tumor classification using hybrid machine learning algorithms,87,2022, Wiley Online Library, Journal of healthcare …,https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/2761847,22
97,"F Kazemi, TA Najafabadi, BN Araabi",Automatic recognition of acute myelogenous leukemia in blood microscopic images using k-means clustering and support vector machine,82,2016, journals.lww.com, Journal of Medical Signals …,https://journals.lww.com/jmss/fulltext/2016/06030/automatic_recognition_of_acute_myelogenous.8.aspx,8
49,"O Sarrafzadeh, AM Dehnavi",Nucleus and cytoplasm segmentation in microscopic images using K-means clustering and region growing,78,2015, journals.lww.com, Advanced biomedical research,https://journals.lww.com/adbm/fulltext/2015/04000/nucleus_and_cytoplasm_segmentation_in_microscopic.174.aspx,7
2,"S Basar, M Ali, G Ochoa-Ruiz, M Zareei, A Waheed…",Unsupervised color image segmentation: A case of RGB histogram based K-means clustering initialization,74,2020, journals.plos.org, Plos one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0240015,12
