Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,DOI
32,"J Han, KK Ma",Fuzzy color histogram and its use in color image retrieval,480,2002, ieeexplore.ieee.org, IEEE Transactions on image Processing,https://ieeexplore.ieee.org/abstract/document/1025168/,20,10.1109/tip.2002.801585
71,P Schmid,Segmentation of digitized dermatoscopic images by two-dimensional color clustering,371,2002, ieeexplore.ieee.org, IEEE Transactions on Medical Imaging,https://ieeexplore.ieee.org/abstract/document/759124/,15,10.1109/42.759124
21,"T Lei, X Jia, Y Zhang, S Liu, H Meng…",Superpixel-based fast fuzzy C-means clustering for color image segmentation,354,2018, ieeexplore.ieee.org, … Transactions on Fuzzy …,https://ieeexplore.ieee.org/abstract/document/8584141/,44,10.1109/tfuzz.2018.2889018
5,ME Celebi,Improving the performance of k-means for color quantization,265,2011, Elsevier, Image and Vision Computing,https://www.sciencedirect.com/science/article/pii/S0262885610001411,18,10.1016/j.imavis.2010.10.002
2,"D Özdemir, L Akarun",A fuzzy algorithm for color quantization of images,178,2002, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S0031320301001704,7,10.1016/s0031-3203(01)00170-4
48,"Z Yu, OC Au, R Zou, W Yu, J Tian",An adaptive unsupervised approach toward pixel clustering and color image segmentation,167,2010, Elsevier, Pattern recognition,https://www.sciencedirect.com/science/article/pii/S0031320309004348,10,10.1016/j.patcog.2009.11.015
64,"WC Chen, MS Wang",A fuzzy c-means clustering-based fragile watermarking scheme for image authentication,166,2009, Elsevier, Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417407005751,10,10.1016/j.eswa.2007.11.018
15,"CH Chang, P Xu, R Xiao…",New adaptive color quantization method based on self-organizing maps,154,2005, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/1388472/,7,10.1109/tnn.2004.836543
23,"DW Kim, KH Lee, D Lee",A novel initialization scheme for the fuzzy c-means algorithm for color clustering,140,2004, Elsevier, Pattern recognition letters,https://www.sciencedirect.com/science/article/pii/S0167865503002228,6,10.1016/j.patrec.2003.10.004
61,"S Zeng, R Huang, H Wang, Z Kang",Image retrieval using spatiograms of colors quantized by gaussian mixture models,121,2016, Elsevier, Neurocomputing,https://www.sciencedirect.com/science/article/pii/S0925231215009820,12,10.1016/j.neucom.2015.07.008
66,"S Yin, Y Qian, M Gong",Unsupervised hierarchical image segmentation through fuzzy entropy maximization,106,2017, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S0031320317301115,12,10.1016/j.patcog.2017.03.012
6,"S Hsieh, KC Fan",An adaptive clustering algorithm for color quantization,91,2000, Elsevier, Pattern Recognition Letters,https://www.sciencedirect.com/science/article/pii/S0167865599001658,4,10.1016/s0167-8655(99)00165-8
82,"A Atsalakis, N Papamarkos",Color reduction and estimation of the number of dominant colors by using a self-growing and self-organized neural gas,87,2006, Elsevier, Engineering Applications of Artificial …,https://www.sciencedirect.com/science/article/pii/S0952197606000972,4,10.1016/j.engappai.2006.05.004
96,"JF Yang, SS Hao, PC Chung",Color image segmentation using fuzzy C-means and eigenspace projections,82,2002, Elsevier, Signal Processing,https://www.sciencedirect.com/science/article/pii/S0165168401001967,3,10.1016/s0165-1684(01)00196-7
36,"C Ozturk, E Hancer, D Karaboga",Color image quantization: a short review and an application with artificial bee colony algorithm,73,2014, content.iospress.com, Informatica,https://content.iospress.com/articles/informatica/inf25-3-08,6,10.15388/informatica.2014.25
68,"YC Hu, BH Su",Accelerated k-means clustering algorithm for colour image quantization,71,2008, Taylor & Francis, The Imaging Science Journal,https://www.tandfonline.com/doi/abs/10.1179/174313107X176298,4,10.1179/174313107x176298
26,"L Brun, A Trémeau",Color quantization,66,2017, taylorfrancis.com, Digital color imaging handbook,https://www.taylorfrancis.com/chapters/edit/10.1201/9781420041484-9/color-quantization-luc-brun-alain-tr%C3%A9meau,7,10.1201/9781420010749.ch86
100,"V Kalist, P Ganesan, BS Sathish, JMM Jenitha",Possiblistic-fuzzy C-means clustering approach for the segmentation of satellite images in HSL color space,64,2015, Elsevier, Procedia Computer …,https://www.sciencedirect.com/science/article/pii/S1877050915018931,6,10.1016/j.procs.2015.07.364
79,"D Mújica-Vargas, FJ Gallegos-Funes…",A fuzzy clustering algorithm with spatial robust estimation constraint for noisy color image segmentation,61,2013, Elsevier, Pattern Recognition …,https://www.sciencedirect.com/science/article/pii/S0167865512003340,5,10.1016/j.patrec.2012.10.004
90,"Y Sirisathitkul, S Auwatanamongkol…",Color image quantization using distances between adjacent colors along the color axis with highest color variance,59,2004, Elsevier, Pattern Recognition …,https://www.sciencedirect.com/science/article/pii/S0167865504000595,3,10.1016/j.patrec.2004.02.012
