Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,DOI
40,"S Krinidis, V Chatzis",A robust fuzzy local information C-means clustering algorithm,1352,2010, ieeexplore.ieee.org, IEEE transactions on image processing,https://ieeexplore.ieee.org/abstract/document/5393030/,84,10.1109/tip.2010.2040763
67,"D Dembele, P Kastner",Fuzzy C-means method for clustering microarray data,683,2003, academic.oup.com, bioinformatics,https://academic.oup.com/bioinformatics/article-abstract/19/8/973/235328,30,10.1093/bioinformatics/btg119
71,"J Nayak, B Naik, HS Behera",Fuzzy C-means (FCM) clustering algorithm: a decade review from 2000 to 2014,397,2015, Springer,Volume 2 …,https://link.springer.com/chapter/10.1007/978-81-322-2208-8_14,36,10.1007/978-81-322-2208-8_14
83,"J Qin, W Fu, H Gao, WX Zheng",Distributed  -Means Algorithm and Fuzzy  -Means Algorithm for Sensor Networks Based on Multiagent Consensus Theory,373,2016, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/7425183/,37,10.1109/tcyb.2016.2526683
6,"T Lei, X Jia, Y Zhang, S Liu, H Meng…",Superpixel-based fast fuzzy C-means clustering for color image segmentation,354,2018, ieeexplore.ieee.org, … Transactions on Fuzzy …,https://ieeexplore.ieee.org/abstract/document/8584141/,44,10.1109/tfuzz.2018.2889018
51,ME Celebi,Improving the performance of k-means for color quantization,265,2011, Elsevier, Image and Vision Computing,https://www.sciencedirect.com/science/article/pii/S0262885610001411,18,10.1016/j.imavis.2010.10.002
53,"V Schwämmle, ON Jensen",A simple and fast method to determine the parameters for fuzzy c–means cluster analysis,259,2010, academic.oup.com, Bioinformatics,https://academic.oup.com/bioinformatics/article-abstract/26/22/2841/227572,16,10.1093/bioinformatics/btq534
34,"NAM Isa, SA Salamah, UK Ngah",Adaptive fuzzy moving K-means clustering algorithm for image segmentation,232,2009, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/5373781/,14,10.1109/tce.2009.5373781
37,"MS Alam, MM Rahman, MA Hossain, MK Islam…",Automatic human brain tumor detection in MRI image using template-based K means and improved fuzzy C means clustering algorithm,174,2019, mdpi.com, Big Data and Cognitive …,https://www.mdpi.com/2504-2289/3/2/27,25,10.3390/bdcc3020027
1,"M EtehadTavakol, S Sadri, EYK Ng",Application of K-and fuzzy c-means for color segmentation of thermal infrared breast images,168,2010, Springer, Journal of medical systems,https://link.springer.com/article/10.1007/s10916-008-9213-1,10,10.1007/s10916-008-9213-1
58,KP Lin,A Novel Evolutionary Kernel Intuitionistic Fuzzy  -means Clustering Algorithm,167,2013, ieeexplore.ieee.org, IEEE Transactions on Fuzzy systems,https://ieeexplore.ieee.org/abstract/document/6587744/,13,10.1007/s00500-020-04879-8
95,"CC Hung, S Kulkarni, BC Kuo",A new weighted fuzzy c-means clustering algorithm for remotely sensed image classification,167,2010, ieeexplore.ieee.org, IEEE Journal of selected topics …,https://ieeexplore.ieee.org/abstract/document/5658101/,10,10.1109/jstsp.2010.2096797
35,"DM Tsai, CC Lin",Fuzzy C-means based clustering for linearly and nonlinearly separable data,152,2011, Elsevier, Pattern recognition,https://www.sciencedirect.com/science/article/pii/S0031320311000562,10,10.1016/j.patcog.2011.02.009
21,"DW Kim, KH Lee, D Lee",A novel initialization scheme for the fuzzy c-means algorithm for color clustering,140,2004, Elsevier, Pattern recognition letters,https://www.sciencedirect.com/science/article/pii/S0167865503002228,6,10.1016/j.patrec.2003.10.004
3,"S Madhukumar, N Santhiyakumari",Evaluation of k-Means and fuzzy C-means segmentation on MR images of brain,133,2015, Elsevier, The Egyptian Journal of Radiology and …,https://www.sciencedirect.com/science/article/pii/S0378603X15000522,12,10.1016/j.ejrnm.2015.02.008
97,"A Stetco, XJ Zeng, J Keane",Fuzzy C-means++: Fuzzy C-means with effective seeding initialization,132,2015, Elsevier, Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417415003346,12,10.1016/j.eswa.2015.05.014
10,"A Ajala Funmilola, OA Oke, TO Adedeji…",Fuzzy kc-means clustering algorithm for medical image segmentation,132,2012, core.ac.uk, Journal of information …,https://core.ac.uk/download/pdf/234676965.pdf,9,10.1142/9789812772381_0037
23,"B Sowmya, BS Rani",Colour image segmentation using fuzzy clustering techniques and competitive neural network,118,2011, Elsevier, Applied Soft Computing,https://www.sciencedirect.com/science/article/pii/S1568494610003261,8,10.1016/j.asoc.2010.12.019
62,"V Jumb, M Sohani, A Shrivas",Color image segmentation using K-means clustering and Otsu's adaptive thresholding,113,2014, Citeseer, International Journal of Innovative …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=e2ea87633490965e92400ae80955dcb5dce6e90a,9,10.1109/icgec.2011.93
79,"O Kesemen, Ö Tezel, E Özkul",Fuzzy c-means clustering algorithm for directional data (FCM4DD),105,2016, Elsevier, Expert systems with applications,https://www.sciencedirect.com/science/article/pii/S0957417416301324,10,10.1016/j.eswa.2016.03.034
73,"RS Kabade, MS Gaikwad",Segmentation of brain tumour and its area calculation in brain MR images using K-mean clustering and fuzzy C-mean algorithm,100,2013, ijcset.com, Int. J. Comput. Sci. Eng. Technol,http://ijcset.com/docs/IJCSET13-04-05-072.pdf,8,10.21090/ijaerd.t1075209
31,"RJ Kuo, TC Lin, FE Zulvia, CY Tsai",A hybrid metaheuristic and kernel intuitionistic fuzzy c-means algorithm for cluster analysis,98,2018, Elsevier, Applied Soft Computing,https://www.sciencedirect.com/science/article/pii/S156849461830098X,12,10.1016/j.asoc.2018.02.039
4,"BR Jipkate, VV Gohokar",A comparative analysis of fuzzy c-means clustering and k means clustering algorithms,96,2012, Citeseer, International Journal Of Computational …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=695cac16731970ecdc565bd8ee8ff940ea563688,7,10.3969/j.issn.1004-4132.2010.04.009
100,"AB Goktepe, S Altun, A Sezer",Soil clustering by fuzzy c-means algorithm,95,2005, Elsevier, Advances in Engineering Software,https://www.sciencedirect.com/science/article/pii/S0965997805000153,5,10.1016/j.advengsoft.2005.01.008
63,"R Melli, C Grana, R Cucchiara",Comparison of color clustering algorithms for segmentation of dermatological images,89,2006, spiedigitallibrary.org, Medical Imaging 2006: Image …,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/6144/61443S/Comparison-of-color-clustering-algorithms-for-segmentation-of-dermatological-images/10.1117/12.652061.short,4,10.1117/12.652061
50,"WL Hung, MS Yang, DH Chen",Bootstrapping approach to feature-weight selection in fuzzy c-means algorithms with an application in color image segmentation,83,2008, Elsevier, Pattern Recognition Letters,https://www.sciencedirect.com/science/article/pii/S0167865508000597,5,10.1016/j.patrec.2008.02.003
91,"H Hooda, OP Verma, T Singhal","Brain tumor segmentation: A performance analysis using K-Means, Fuzzy C-Means and Region growing algorithm",82,2014, ieeexplore.ieee.org, 2014 IEEE International …,https://ieeexplore.ieee.org/abstract/document/7019383/,7,10.1109/icaccct.2014.7019383
80,"SE Hashemi, F Gholian-Jouybari…",A fuzzy C-means algorithm for optimizing data clustering,77,2023, Elsevier, Expert Systems with …,https://www.sciencedirect.com/science/article/pii/S0957417423008795,26,10.1016/j.eswa.2023.120377
47,"MKI Rahmani, N Pal, K Arora",Clustering of image data using K-means and fuzzy K-means,75,2014, academia.edu, International Journal of Advanced …,https://www.academia.edu/download/81384790/54a9acc5066476655739eaba2d9f566f3497.pdf,6,10.14569/ijacsa.2014.050724
70,"S Basar, M Ali, G Ochoa-Ruiz, M Zareei, A Waheed…",Unsupervised color image segmentation: A case of RGB histogram based K-means clustering initialization,74,2020, journals.plos.org, Plos one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0240015,12,10.1371/journal.pone.0240015
44,"S Ghaffarian, S Ghaffarian",Automatic histogram-based fuzzy C-means clustering for remote sensing imagery,70,2014, Elsevier, ISPRS Journal of Photogrammetry and …,https://www.sciencedirect.com/science/article/pii/S0924271614002056,6,10.1016/j.isprsjprs.2014.08.006
48,"T Velmurugan, T Santhanam",Performance evaluation of k-means and fuzzy c-means clustering algorithms for statistical distributions of input data points,65,2010, academia.edu, European Journal of Scientific …,https://www.academia.edu/download/35351385/ejsr_46_3_02.pdf,4,10.1016/j.eswa.2011.11.063
75,"V Kalist, P Ganesan, BS Sathish, JMM Jenitha",Possiblistic-fuzzy C-means clustering approach for the segmentation of satellite images in HSL color space,64,2015, Elsevier, Procedia Computer …,https://www.sciencedirect.com/science/article/pii/S1877050915018931,6,10.1016/j.procs.2015.07.364
5,"Q Wen, ME Celebi",Hard versus fuzzy c-means clustering for color quantization,54,2011, Springer, EURASIP Journal on Advances in Signal Processing,https://link.springer.com/article/10.1186/1687-6180-2011-118,4,10.1186/1687-6180-2011-118
93,"F Zhao, Y Chen, H Liu, J Fan",Alternate PSO-based adaptive interval type-2 intuitionistic fuzzy C-means clustering algorithm for color image segmentation,50,2019, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/8715432/,7,10.1109/access.2019.2916894
72,"E Rajaby, SM Ahadi, H Aghaeinia",Robust color image segmentation using fuzzy c-means with weighted hue and intensity,49,2016, Elsevier, Digital Signal Processing,https://www.sciencedirect.com/science/article/pii/S1051200416000166,5,10.1016/j.dsp.2016.01.010
49,"T Singh, M Mahajan",Could not catch title,45,0," International journal of advanced research in computer …, 2014",T Singh,"Look manually at: https://scholar.google.com/scholar?start=40&q=Fuzzy+C-means+vs.+K-means+in+color+clustering&hl=en&as_sdt=0,5&as_ylo=2000",0,10.7748/ns.16.31.23.s39
69,"R Ahmmed, MF Hossain",Tumor detection in brain MRI image using template based K-means and Fuzzy C-means clustering algorithm,42,2016, ieeexplore.ieee.org, 2016 International Conference on …,https://ieeexplore.ieee.org/abstract/document/7479972/,4,10.1109/iccci.2016.7479972
