Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,DOI
5,"HD Cheng, XH Jiang, Y Sun, J Wang",Color image segmentation: advances and prospects,2710,2001, Elsevier, Pattern recognition,https://www.sciencedirect.com/science/article/pii/S0031320300001497,108,10.1016/s0031-3203(00)00149-7
27,"Y Liu, D Zhang, G Lu, WY Ma",A survey of content-based image retrieval with high-level semantics,2399,2007, Elsevier, Pattern recognition,https://www.sciencedirect.com/science/article/pii/S0031320306002184,126,10.1016/j.patcog.2006.04.045
69,"L Rokach, O Maimon",Clustering methods,2224,2005, Springer, Data mining and knowledge discovery handbook,https://link.springer.com/chapter/10.1007/0-387-25465-x_15,106,10.1007/978-3-642-93155-0_7
52,"S Krinidis, V Chatzis",A robust fuzzy local information C-means clustering algorithm,1353,2010, ieeexplore.ieee.org, IEEE transactions on image processing,https://ieeexplore.ieee.org/abstract/document/5393030/,85,10.1109/tip.2010.2040763
34,"V Singh, AK Misra",Detection of plant leaf diseases using image segmentation and soft computing techniques,1350,2017, Elsevier, Information processing in Agriculture,https://www.sciencedirect.com/science/article/pii/S2214317316300154,150,10.1016/j.inpa.2016.10.005
83,"SM Lucas, A Panaretos, L Sosa, A Tang…","ICDAR 2003 robust reading competitions: entries, results, and future directions",1209,2005, Springer, International Journal of …,https://link.springer.com/article/10.1007/s10032-004-0134-3,58,10.1007/s10032-004-0134-3
100,"X Ji, JF Henriques, A Vedaldi",Invariant information clustering for unsupervised image classification and segmentation,1071,2019, openaccess.thecvf.com, Proceedings of the IEEE …,http://openaccess.thecvf.com/content_ICCV_2019/html/Ji_Invariant_Information_Clustering_for_Unsupervised_Image_Classification_and_Segmentation_ICCV_2019_paper.html,153,10.1109/iccv.2019.00996
12,"S Katz, A Tal",Hierarchical mesh decomposition using fuzzy clustering and cuts,954,2003, dl.acm.org, ACM transactions on graphics (TOG),https://dl.acm.org/doi/abs/10.1145/882262.882369,41,10.1145/882262.882369
78,"I Zehavi, Z Zheng, DH Weinberg…",Galaxy clustering in the completed SDSS redshift survey: the dependence on color and luminosity,946,2011, iopscience.iop.org, The Astrophysical …,https://iopscience.iop.org/article/10.1088/0004-637X/736/1/59/meta,63,10.1088/0004-637x/736/1/59
94,"ER Hruschka, RJGB Campello…",A survey of evolutionary algorithms for clustering,932,2009, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/4783080/,55,10.1109/tsmcc.2008.2007252
18,"S Gieseke, C Röhr, A Siódmok",Colour reconnections in Herwig++,930,2012, Springer, The European Physical Journal C,https://link.springer.com/article/10.1140/epjc/s10052-012-2225-5,66,10.1140/epjc/s10052-012-2225-5
72,"N Senthilkumaran, R Rajesh",Image segmentation-a survey of soft computing approaches,815,2009, ieeexplore.ieee.org, 2009 International Conference …,https://ieeexplore.ieee.org/abstract/document/5328277/,48,10.1109/artcom.2009.219
74,"SEF De Avila, APB Lopes, A da Luz Jr…",VSUMM: A mechanism designed to produce static video summaries and a novel evaluation method,795,2011, Elsevier, Pattern recognition …,https://www.sciencedirect.com/science/article/pii/S0167865510002783,53,10.1016/j.patrec.2010.08.004
70,JG Arnal Barbedo,"Digital image processing techniques for detecting, quantifying and classifying plant diseases",751,2013, Springer, SpringerPlus,https://link.springer.com/article/10.1186/2193-1801-2-660,58,10.1016/j.matpr.2021.06.271
43,"H Li, O Chutatape",Automated feature extraction in color retinal images by a model based approach,750,2004, ieeexplore.ieee.org, IEEE Transactions on biomedical …,https://ieeexplore.ieee.org/abstract/document/1262102/,34,10.1109/tbme.2003.820400
64,"B Zheng, SW Yoon, SS Lam",Breast cancer diagnosis based on feature extraction using a hybrid of K-means and support vector machine algorithms,726,2014, Elsevier, Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417413006659,60,10.1016/j.eswa.2013.08.044
66,"S Arivazhagan, RN Shebiah, S Ananthi…",Detection of unhealthy region of plant leaves and classification of plant leaf diseases using texture features,700,2013, cigrjournal.org, Agricultural …,http://cigrjournal.org/index.php/Ejounral/article/view/2338,54,10.1049/iet-cvi.2018.5028
85,"NM Zaitoun, MJ Aqel",Survey on image segmentation techniques,692,2015, Elsevier, Procedia Computer Science,https://www.sciencedirect.com/science/article/pii/S1877050915028574,63,10.1007/978-981-13-0761-4_105
99,"E Dimitriadou, K Hornik, F Leisch, D Meyer…","Misc functions of the Department of Statistics (e1071), TU Wien",685,2008, Citeseer, R package,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=3ceff42db79be884fc7b18b22fcc6ba0d8ef0faf,38,10.32614/cran.package.e1071
7,"L Fu, E Medico","FLAME, a novel fuzzy clustering method for the analysis of DNA microarray data",670,2007, Springer, BMC bioinformatics,https://link.springer.com/article/10.1186/1471-2105-8-3,35,10.1186/1471-2105-8-3
60,"E Hamuda, M Glavin, E Jones",A survey of image processing techniques for plant extraction and segmentation in the field,670,2016, Elsevier, Computers and electronics in agriculture,https://www.sciencedirect.com/science/article/pii/S0168169916301557,67,10.1016/j.compag.2016.04.024
4,"L Lucchese, SK Mitra",Colour image segmentation: a state-of-the-art survey,649,2001, ultra.sdk.free.fr,Indian National Science Academy Part A,http://ultra.sdk.free.fr/docs/Image-Processing/filters/Color%20Image%20Segmentation-A%20State-of-the-Art%20Survey.pdf,26,10.1109/icacc.2009.78
39,"SA Chatzichristofis, YS Boutalis",CEDD: Color and edge directivity descriptor: A compact descriptor for image indexing and retrieval,644,2008, Springer, …   ICVS 2008 Santorini  Greece  May 12 …,https://link.springer.com/chapter/10.1007/978-3-540-79547-6_30,36,10.1007/978-3-540-79547-6_30
24,"JV De Oliveira, W Pedrycz",Advances in fuzzy clustering and its applications,643,2007, books.google.com,,https://books.google.com/books?hl=en&lr=&id=Pn0e1xm4YBgC&oi=fnd&pg=PR5&dq=Soft+clustering+for+dominant+color+extraction&ots=jHuN5In9UG&sig=T2Pzo50Z6I1Z_OPKdlKngts3CQU,34,10.1002/9780470061190
98,"AP Gasch, MB Eisen",Exploring the conditional coregulation of yeast gene expression through fuzzy k-means clustering,615,2002, Springer, Genome biology,https://link.springer.com/article/10.1186/gb-2002-3-11-research0059,26,10.1186/gb-2002-3-11-research0059
88,"Y Chen, JZ Wang",A region-based fuzzy feature matching approach to content-based image retrieval,592,2002, ieeexplore.ieee.org, IEEE transactions on pattern analysis and …,https://ieeexplore.ieee.org/abstract/document/1033216/,25,10.1109/tpami.2002.1033216
95,"MGH Omran, AP Engelbrecht…",An overview of clustering methods,566,2007, content.iospress.com, Intelligent Data …,https://content.iospress.com/articles/intelligent-data-analysis/ida00305,30,10.9790/3021-0204719725
58,"A Levin, A Rav-Acha…",Spectral matting,554,2008, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/4547428/,31,10.1109/tpami.2008.168
75,"E Abdel-Maksoud, M Elmogy, R Al-Awadi",Brain tumor segmentation based on a hybrid clustering technique,536,2015, Elsevier, Egyptian Informatics Journal,https://www.sciencedirect.com/science/article/pii/S1110866515000043,49,10.1016/j.eij.2015.01.003
33,"X Li, K Wang, Y Lyu, H Pan, J Zhang…",Deep learning enables accurate clustering with batch effect removal in single-cell RNA-seq analysis,534,2020, nature.com, Nature …,https://www.nature.com/articles/s41467-020-15851-3,89,10.1101/530378
25,"S Antani, R Kasturi, R Jain","A survey on the use of pattern recognition methods for abstraction, indexing and retrieval of images and video",527,2002, Elsevier, Pattern recognition,https://www.sciencedirect.com/science/article/pii/S0031320301000863,22,10.1016/s0031-3203(01)00086-3
35,"J Han, KK Ma",Fuzzy color histogram and its use in color image retrieval,480,2002, ieeexplore.ieee.org, IEEE Transactions on image Processing,https://ieeexplore.ieee.org/abstract/document/1025168/,20,10.1109/tip.2002.801585
10,"M Guijarro, G Pajares, I Riomoros, PJ Herrera…",Automatic segmentation of relevant textures in agricultural images,468,2011, Elsevier, … and Electronics in …,https://www.sciencedirect.com/science/article/pii/S0168169910001924,31,10.1016/j.compag.2010.09.013
29,"SA Chatzichristofis, YS Boutalis",Fcth: Fuzzy color and texture histogram-a low level feature for accurate image retrieval,418,2008, ieeexplore.ieee.org, 2008 ninth international …,https://ieeexplore.ieee.org/abstract/document/4556917/,23,10.1109/wiamis.2008.24
87,"Z Ren, S Gao, LT Chia…",Region-based saliency detection and its application in object recognition,417,2013, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/6587754/,32,10.1109/tcsvt.2013.2280096
13,"A Ghosh, NS Mishra, S Ghosh",Fuzzy clustering algorithms for unsupervised change detection in remote sensing images,412,2011, Elsevier, Information Sciences,https://www.sciencedirect.com/science/article/pii/S0020025510005153,27,10.1016/j.ins.2010.10.016
15,"X Liming, Z Yanchao",Automated strawberry grading system based on image processing,403,2010, Elsevier, Computers and electronics in agriculture,https://www.sciencedirect.com/science/article/pii/S016816990900204X,25,10.1016/j.compag.2009.09.013
53,"WX Kang, QQ Yang, RP Liang",The comparative research on image segmentation algorithms,392,2009, ieeexplore.ieee.org, 2009 First international …,https://ieeexplore.ieee.org/abstract/document/4959132/,23,10.1109/etcs.2009.417
54,"E Stergiopoulou, N Papamarkos",Hand gesture recognition using a neural network shape fitting technique,383,2009, Elsevier, Engineering Applications of Artificial …,https://www.sciencedirect.com/science/article/pii/S0952197609000694,23,10.1016/j.engappai.2009.03.008
82,"R da Silva Torres, AX Falcao",Content-based image retrieval: theory and applications.,378,2006, academia.edu, RITA,https://www.academia.edu/download/54642042/download.pdf,19,10.1117/12.660260
56,"A Latif, A Rasheed, U Sajid, J Ahmed…",Content‐Based Image Retrieval and Feature Extraction: A Comprehensive Review,372,2019, Wiley Online Library, Mathematical …,https://onlinelibrary.wiley.com/doi/abs/10.1155/2019/9658350,53,10.1155/2019/9658350
2,P Schmid,Segmentation of digitized dermatoscopic images by two-dimensional color clustering,371,2002, ieeexplore.ieee.org, IEEE Transactions on Medical Imaging,https://ieeexplore.ieee.org/abstract/document/759124/,15,10.1109/42.759124
36,"KS Tan, NAM Isa",Color image segmentation using histogram thresholding–Fuzzy C-means hybrid approach,370,2011, Elsevier, Pattern recognition,https://www.sciencedirect.com/science/article/pii/S0031320310003523,25,10.1016/j.patcog.2010.07.013
97,A Osareh,Automated identification of diabetic retinal exudates in digital color images,364,2018, api.taylorfrancis.com, Color Image Processing,https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/9781315221526-22&type=chapterpdf,46,10.1201/9781315221526-22
46,"A Sopharak, B Uyyanonvara, S Barman",Automatic exudate detection from non-dilated diabetic retinopathy retinal images using fuzzy c-means clustering,364,2009, mdpi.com, sensors,https://www.mdpi.com/1424-8220/9/3/2148,21,10.3390/s90302148
9,"XY Wang, YJ Yu, HY Yang","An effective image retrieval scheme using color, texture and shape features",360,2011, Elsevier, Computer Standards & Interfaces,https://www.sciencedirect.com/science/article/pii/S0920548910000322,24,10.1016/j.csi.2010.03.004
3,"T Lei, X Jia, Y Zhang, S Liu, H Meng…",Superpixel-based fast fuzzy C-means clustering for color image segmentation,354,2018, ieeexplore.ieee.org, … Transactions on Fuzzy …,https://ieeexplore.ieee.org/abstract/document/8584141/,44,10.1109/tfuzz.2018.2889018
63,"E Aljalbout, V Golkov, Y Siddiqui, M Strobel…",Clustering with deep learning: Taxonomy and new methods,351,2018, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1801.07648,44,10.1063/5.0175632
1,"G Dong, M Xie",Color clustering and learning for image segmentation based on neural networks,339,2005, ieeexplore.ieee.org, IEEE transactions on neural networks,https://ieeexplore.ieee.org/abstract/document/1461434/,16,10.1109/tnn.2005.849822
68,"A Osareh, B Shadgar…",A computational-intelligence-based approach for detection of exudates in diabetic retinopathy images,336,2009, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/5156192/,20,10.1109/titb.2008.2007493
31,"A Dantcheva, C Velardo, A D'angelo…",Bag of soft biometrics for person identification: New trends and challenges,336,2011, Springer, Multimedia Tools and …,https://link.springer.com/article/10.1007/s11042-010-0635-7,22,10.1109/icsipa.2015.7412149
91,"P Schmid-Saugeona, J Guillodb, JP Thirana",Towards a computer-aided diagnosis system for pigmented skin lesions,328,2003, Elsevier, … Medical Imaging and …,https://www.sciencedirect.com/science/article/pii/S0895611102000484,14,10.1016/s0895-6111(02)00048-4
6,"S Naz, H Majeed, H Irshad",Image segmentation using fuzzy clustering: A survey,313,2010, ieeexplore.ieee.org, 2010 6th international conference …,https://ieeexplore.ieee.org/abstract/document/5638492/,20,10.1109/icet.2010.5638492
26,"Y Jiang, FL Chung, S Wang, Z Deng…",Collaborative fuzzy clustering from multiple weighted views,309,2014, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/6862861/,26,10.1109/tcyb.2014.2334595
21,"S Zhang, H Wang, W Huang, Z You","Plant diseased leaf segmentation and recognition by fusion of superpixel, K-means and PHOG",309,2018, Elsevier, Optik,https://www.sciencedirect.com/science/article/pii/S0030402617316108,39,10.1016/j.ijleo.2017.11.190
48,"J Selvakumar, A Lakshmi…",Brain tumor segmentation and its area calculation in brain MR images using K-mean clustering and Fuzzy C-mean algorithm,308,2012, ieeexplore.ieee.org, … international conference on …,https://ieeexplore.ieee.org/abstract/document/6215996/,22,10.1007/978-981-15-2696-1_83
73,"J Li, S Ray, BG Lindsay",A nonparametric statistical approach to clustering via mode identification,308,2007, jmlr.org, Journal of Machine Learning Research,http://www.jmlr.org/papers/volume8/li07a/li07a.pdf,16,10.1080/03610919708813380
20,"A Meunkaewjinda, P Kumsawat…",Grape leaf disease detection from color imagery using hybrid intelligent system,305,2008, ieeexplore.ieee.org, 2008 5th …,https://ieeexplore.ieee.org/abstract/document/4600483/,17,10.1109/ecticon.2008.4600483
51,"M Singha, K Hemachandran",Content based image retrieval using color and texture,301,2012, academia.edu, Signal & Image Processing,https://www.academia.edu/download/43981756/ccm.pdf,22,10.14445/22312803/ijctt-v48p117
47,"L Zdeborová, F Krząkała",Phase transitions in the coloring of random graphs,300,2007, APS, Physical Review E—Statistical  Nonlinear  and Soft …,https://journals.aps.org/pre/abstract/10.1103/PhysRevE.76.031131,16,10.1103/physreve.76.031131
96,"Y Lei, Z He, Y Zi, X Chen",New clustering algorithm-based fault diagnosis using compensation distance evaluation technique,296,2008, Elsevier, Mechanical Systems and Signal Processing,https://www.sciencedirect.com/science/article/pii/S0888327007001227,16,10.1016/j.ymssp.2007.07.013
30,"DE Ilea, PF Whelan",Image segmentation based on the integration of colour–texture descriptors—A review,295,2011, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S0031320311000902,20,10.1016/j.patcog.2011.03.005
