Job Title,Company Name,Location,Job Time,Category,Salary,Post Date,Deadline,Job URL,Company Logo URL
Kredit mütəxəssisi,Kəpəz Bokt MMC,Bakı,Tam-ştat,Kredit mütəxəssisi,500 - 1000 AZN,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/kredit-mutexessisi,https://www.hellojob.az/resized/companies/9qhQcFShUaUPbFBCK0PkIyn1WR0De71mBAWnVQqX-120--resize.webp
Mağaza satıcısı,AGROPET MMC,"Bakı, Xəzər rayonu, Mərdəkan qəs, Sergey Yesenin küç",Tam-ştat,Satış üzrə mütəxəssis,Razılaşma ilə,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/magaza-saticisi-905042,https://www.hellojob.az/resized/120/-/resize/companies/334d514f9159b5297e53d529c4987af6/az/uploads/stores/2024/11/11/agropet-mmc-store-6731f0cfb80eb-2c9c3d7279bebc79dd48d4abe62d6798
Kuryer,Şeh Group MMC,"Bakı, Bakı Şəhəri Kənd Əhmədli",Tam-ştat,Digər,650 AZN,02 aprel 2025,02 may 2025,https://www.hellojob.az/vakansiya/kuryer,
Satış üzrə agent,Hissə Hissə Avto MMC,"Bakı, Arena Plaza, H.Əliyev prospekti 115",Frilans,Digər,Razılaşma ilə,01 aprel 2025,01 may 2025,https://www.hellojob.az/vakansiya/satis-uzre-agent-904974,https://www.hellojob.az/resized/companies/7d1d6deac2db65b7f9c753dc968206c7-120--resize.webp
SMM mütəxəssisi (xanım),Senser lingerire,"Bakı, ELMLER",Tam-ştat,SMM,500 - 700 AZN,28 mart 2025,28 aprel 2025,https://www.hellojob.az/vakansiya/sosial-media-marketinq-smm-mutexessisixanim,https://www.hellojob.az/resized/companies/09d6ddebb745fb0176a7c2001846a868-120--resize.webp
Online satış meneceri,Esshopbaku,"Bakı, Azadlig pr 19",Yarım-ştat,Satış üzrə mütəxəssis,Razılaşma ilə,19 aprel 2025,19 may 2025,https://www.hellojob.az/vakansiya/online-satis-meneceri-960501,
İngilis dili müəllimi,British Centre,"Bakı, Asif Məhərrəmov 33A",Tam-ştat,Xüsusi təhsil/ Təlim,350 - 1000 AZN,19 aprel 2025,19 may 2025,https://www.hellojob.az/vakansiya/ingilis-dili-muellimi-959418,https://www.hellojob.az/resized/companies/e0c8653e1a4fef128dd9ab1bc959c979-120--resize.webp
Satış mütəxəssisi,Qbit Technologies,"Bakı, BAKU, Caspian Plaza",Tam-ştat,Satış üzrə mütəxəssis,300 - 1000 AZN,19 aprel 2025,19 may 2025,https://www.hellojob.az/vakansiya/satis-mutexessisi-959636,
Satış məsləhətçisi,Lumiere Baku,"Bakı, Koroğlu Bravo Hipermarket Daxili, Heydər Əliyev pr 172",Yarım-ştat,Digər,300 - 400 AZN,19 aprel 2025,19 may 2025,https://www.hellojob.az/vakansiya/satis-meslehetcisi-957264,https://www.hellojob.az/resized/companies/WiFUFadGm6Bx9LWvUO7QYpl35MBOmeTuCMzT8Niq-120--resize.webp
Mühəndis,Asvent MMC,"Bakı, Nerimanov rayonu Cermet qəsəbəsi",Tam-ştat,Digər,Razılaşma ilə,19 aprel 2025,19 may 2025,https://www.hellojob.az/vakansiya/muhendis,
Ümumi İngilis dili müəllimi (Sumqayıt Ofisi),IELTS Academy,"Sumqayıt, Sumgait; Sumgait Business Center; 6/607",Tam-ştat,Xüsusi təhsil/ Təlim,Razılaşma ilə,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/umumi-ingilis-dili-muellimi-sumqayit-ofisi,https://www.hellojob.az/resized/companies/92b05f653164afe3f55d8240e9abd912-120--resize.webp
Anbardar,Real Beauty,Bakı,Tam-ştat,Anbardar,Razılaşma ilə,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/anbardar-931941,https://www.hellojob.az/resized/companies/495836a85f619f29820a8736f2c54bed-120--resize.webp
Satınalma meneceri,AMOGROUP,"Bakı, Xətai pr 34",Tam-ştat,Digər,Razılaşma ilə,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/satinalma-meneceri-929996,
